alim_grp_code,alim_ssgrp_code,alim_ssssgrp_code,alim_grp_nom_fr,alim_ssgrp_nom_fr,alim_ssssgrp_nom_fr,alim_code,alim_nom_fr,alim_nom_fr,"Energie, Règlement UE N° 1169/2011 (kcal/100g)","Energie, N x facteur Jones, avec fibres (kJ/100g)","Energie, N x facteur Jones, avec fibres (kcal/100g)",Eau (g/100g),Protéines (g/100g),"Protéines brutes, N x 6.25 (g/100g)",Glucides (g/100g),Lipides (g/100g),Sucres (g/100g),Amidon (g/100g),Fibres alimentaires (g/100g),Polyols totaux (g/100g),Cendres (g/100g),Alcool (g/100g),Acides organiques (g/100g),AG saturés (g/100g),AG monoinsaturés (g/100g),AG polyinsaturés (g/100g),"AG 4:0, butyrique (g/100g)","AG 6:0, caproïque (g/100g)","AG 8:0, caprylique (g/100g)","AG 10:0, caprique (g/100g)","AG 12:0, laurique (g/100g)","AG 14:0, myristique (g/100g)","AG 16:0, palmitique (g/100g)","AG 18:0, stéarique (g/100g)","AG 18:1 9c (n-9), oléique (g/100g)","AG 18:2 9c,12c (n-6), linoléique (g/100g)","AG 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100g)","AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100g)","AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100g)","AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100g)",Cholestérol (mg/100g),Sel chlorure de sodium (g/100g),Calcium (mg/100g),Chlorure (mg/100g),Cuivre (mg/100g),Fer (mg/100g),Iode (µg/100g),Magnésium (mg/100g),Manganèse (mg/100g),Phosphore (mg/100g),Potassium (mg/100g),Sélénium (µg/100g),Sodium (mg/100g),Zinc (mg/100g),Rétinol (µg/100g),Beta-Carotène (µg/100g),Vitamine D (µg/100g),Vitamine E (mg/100g),Vitamine K1 (µg/100g),Vitamine K2 (µg/100g),Vitamine C (mg/100g),Vitamine B1 ou Thiamine (mg/100g),Vitamine B2 ou Riboflavine (mg/100g),Vitamine B3 ou PP ou Niacine (mg/100g),Vitamine B5 ou Acide pantothénique (mg/100g),Vitamine B6 (mg/100g),Vitamine B9 ou Folates totaux (µg/100g),Vitamine B12 (µg/100g)
1,103,10306,entrées et plats composés,plats composés,plats de légumes/légumineuses,25220,"Choucroute, sans garniture, égouttée, cuite","Choucroute, sans garniture, égouttée, cuite","75,3",310,"75,3","85,6","1,38","1,38","< 0,1","6,6","< 0,2","< 0,35","4,5","< 0,5","1,62",0,"0,53","2,02","3,12","1,08","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","0,06","1,35","0,58","2,81","0,97","0,1","< 0,01","< 0,01","< 0,01","8,44","1,26",43,731,"0,05","0,3",< 20,"6,8","0,09",15,83,< 20,505,"0,15",< 21,< 5,"< 0,25","0,4",31,-,"17,2","< 0,015","< 0,01","< 0,1","0,11","0,055","19,1","0,028"
1,103,10306,entrées et plats composés,plats composés,plats de légumes/légumineuses,25524,Tomate à la provençale,Tomate à la provençale,94,394,94,"77,8","2,5","2,5","11,4","3,64","4,6","5,4","2,9",0,"1,8",0,0,"0,58","2,19","0,66",-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,"0,9",38,-,"0,086","0,93","3,4","17,2","0,3",44,320,"0,86",358,"0,32",0,1480,0,"1,88",-,-,32,"0,085","0,046","0,82","0,33","0,15","30,3",0
1,103,10306,entrées et plats composés,plats composés,plats de légumes/légumineuses,25556,Beignet de légumes,Beignet de légumes,156,653,156,"69,9","3,74","3,74","14,2","8,98","2,75",-,"1,94",0,"1,23",0,0,"1,18","4,96","2,44",-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,"0,64","52,4",-,"0,078","0,72","6,62","17,7","0,18","68,1",209,"2,55",258,"0,4","20,1",197,"0,16","2,86",-,-,"13,2","0,058","0,14","0,42","0,39","0,12",43,"0,14"
1,103,10306,entrées et plats composés,plats composés,plats de légumes/légumineuses,25571,"Falafel ou Boulette de pois-chiche et/ou fève, frite","Falafel ou Boulette de pois-chiche et/ou fève, frite",252,1050,252,48,"8,25","8,25","18,7","14,4","1,4","11,9","7,7","0,9","2,66",0,"0,33","1,5","6,4","5,83","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","0,01","0,88","0,45","6,18","5,7","0,12","< 0,01","< 0,01","< 0,01","1,95","1,6",57,689,"0,3","2,1",< 20,51,"0,93",180,390,< 20,640,"1,3",0,35,"< 0,25","6,9",10,-,"< 0,5","0,047","< 0,01","< 0,1","0,43","0,17",105,0
1,103,10306,entrées et plats composés,plats composés,plats de légumes/légumineuses,25588,"Gratin de légumes en sauce blanche type béchamel, cuit","Gratin de légumes en sauce blanche type béchamel, cuit",105,437,105,"79,9","3,64","3,56","6,74","6,5","3,2","2,9",1,0,"1,26",0,"0,97","3,48","2,03","0,51","0,18","0,12","0,07","0,13","0,16","0,54","1,7","0,48","1,76","0,37","0,13","0,01","< 0,01","< 0,01",37,"0,64",84,441,"0,03","0,31",< 20,13,"0,09",88,190,< 20,255,"0,44","55,2",609,"< 0,25","0,81","22,9",-,"1,94","0,064","0,1","0,15","0,43","0,052","24,4","0,33"
1,103,10307,entrées et plats composés,plats composés,plats de céréales/pâtes,9082,"Blé dur précuit cuisiné, en sachet micro-ondable","Blé dur précuit cuisiné, en sachet micro-ondable",188,785,186,57,"4,93","5,29","29,5","4,84","2,21",-,"2,58",0,"1,16",0,0,"1,11",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,16",-,-,-,-,-,-,-,-,-,-,463,-,-,-,0,"8,99",-,-,40,"0,72","0,016",3,0,"0,12",118,0
1,103,10307,entrées et plats composés,plats composés,plats de céréales/pâtes,9083,"Blé dur précuit, grains entiers, cuisiné, à poêler","Blé dur précuit, grains entiers, cuisiné, à poêler",344,1440,340,-,"11,1","12,1","67,2","1,59","2,64",-,"6,28",0,"1,51",0,0,"0,69",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,51",-,-,-,-,-,-,-,-,-,-,603,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,103,10307,entrées et plats composés,plats composés,plats de céréales/pâtes,25019,"Ravioli à la viande, sauce tomate, appertisé","Ravioli à la viande, sauce tomate, appertisé","89,8",377,"89,8","79,1","4,22","4,22","11,1","2,83","2,23","7,4","1,41",0,"1,31",0,0,"1,14","1,21","0,48","< 0,01","< 0,01","< 0,01","0,0022","0,0033","0,066","0,67","0,21","0,87","0,41","0,068","0,0022","< 0,0011","< 0,0056","41,4","0,96","25,3",542,"0,074","1,09","5,5","13,8","0,24","60,9",169,"< 2,2",382,"0,49",0,150,"0,14","0,32",-,-,"1,22","0,37","0,27","1,25","0,4","0,15",3,traces
1,103,10307,entrées et plats composés,plats composés,plats de céréales/pâtes,25081,Lasagnes ou cannelloni à la viande (bolognaise),Lasagnes ou cannelloni à la viande (bolognaise),118,495,118,"75,2","6,29","6,29","9,48","5,72","2,84","6,64","1,91",0,"1,37",0,0,"2,55","1,51","0,75","0,009","0,009","0,007","0,018","0,029","0,12","0,72","0,32","1,13","0,34","0,054","0,0023","0,00059",0,41,"0,97","44,8",-,"0,12","0,71",10,21,"0,21",92,194,< 10,385,"0,78",10,107,"0,2","0,5",-,-,3,"0,04","0,13","1,26","0,31","0,13","12,8","0,6"
1,103,10307,entrées et plats composés,plats composés,plats de céréales/pâtes,25085,"Pâtes à la bolognaise (spaghetti, tagliatelles…)","Pâtes à la bolognaise (spaghetti, tagliatelles…)","96,9",406,"96,9","78,8","5,32","5,32","8,79","4,07","2,64","6,15","1,9",0,"1,1",0,0,"1,42","1,34","0,77",-,-,-,-,-,-,-,-,-,"0,3","0,1",-,-,-,11,"0,83",14,-,"0,08","0,79",5,"19,6","0,15","58,3",176,"1,1",329,"0,9",0,150,0,"1,31",-,-,"4,22","0,05","0,05","1,1","0,4","0,14","9,05","0,32"
1,103,10307,entrées et plats composés,plats composés,plats de céréales/pâtes,25088,Riz cantonais,Riz cantonais,164,691,164,"62,9","5,46","5,46","23,6","4,94","1,28","18,4","1,74",0,"1,33",0,0,"0,75","1,34","1,76",-,-,-,-,"0,0033","0,013","0,41","0,21","1,11","1,33","0,042","0,0093",-,-,"15,8","0,86","16,7",592,"< 0,1","0,4",2,"8,47","0,1","60,6",78,"1,18",361,"0,5",4,60,"< 0,5","0,91",-,-,"0,97","0,12","0,051","1,1","0,18","0,085",33,"0,14"
1,103,10307,entrées et plats composés,plats composés,plats de céréales/pâtes,25110,"Ravioli chinois à la vapeur à la crevette, cuit","Ravioli chinois à la vapeur à la crevette, cuit",166,698,166,"62,3","5,5","5,5","21,9","5,5","1,04","20,9","3,6",0,"1,18",0,0,"1,55","2,25","1,38","< 0,01","< 0,01","< 0,01","< 0,01","0,03","0,06","0,94","0,49","2,01","1,28","0,06","0,01","< 0,01","0,01","52,3","0,96",31,437,"0,04","0,57",< 20,12,"0,045",65,56,< 20,383,"0,31",< 21,< 5,"< 0,25","0,97","< 0,8",-,"< 0,5","0,015","< 0,01","0,27","0,061","0,038","24,5","0,65"
1,103,10307,entrées et plats composés,plats composés,plats de céréales/pâtes,25122,Gratin de pâtes,Gratin de pâtes,159,666,159,"66,7",7,7,"16,4","6,93","3,08","11,9","1,54",0,"1,5",0,0,"4,01","1,8","0,87","0,18","0,1","0,073","0,15","0,2","0,49","1,48","0,61","1,59","0,66","0,06",-,-,-,"20,4","0,93",116,-,"0,05","0,4","5,4",20,"0,1",137,124,"4,9",372,"0,88",67,0,"0,3","0,34",-,-,"1,1","0,09","0,13","0,64","0,28","0,06",6,"0,39"
1,103,10307,entrées et plats composés,plats composés,plats de céréales/pâtes,25131,Lasagnes ou cannelloni aux légumes,Lasagnes ou cannelloni aux légumes,118,496,118,74,"2,75","2,75","14,8","4,85","4,75",-,"2,25",0,"1,41",0,0,"1,5","2,45","0,79",-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,"0,57",-,-,-,-,-,-,-,-,-,-,222,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,103,10307,entrées et plats composés,plats composés,plats de céréales/pâtes,25135,"Pâtes à la carbonara (spaghetti, tagliatelles…)","Pâtes à la carbonara (spaghetti, tagliatelles…)",173,722,173,66,"5,91","5,91","17,1","8,7","1,79","15,3","1,18",0,"1,11",0,0,"4,34","2,71","0,69","0,18","0,12","0,081","0,15","0,17","0,61","2,18","0,85","2,34","0,54","0,048",-,-,"< 0,01","25,9","0,86","36,1",-,"0,08","0,45",8,"14,6","0,15","86,2","87,1",1,347,1,"47,8",60,"0,1","1,19",-,-,"0,82","0,13","0,08","1,9","0,3","0,06","7,29","0,11"
1,103,10307,entrées et plats composés,plats composés,plats de céréales/pâtes,25139,Lasagnes ou cannelloni au poisson,Lasagnes ou cannelloni au poisson,142,593,142,"71,2","7,28","7,28","11,4","7,1","2,03",-,"1,68",0,"1,38",0,0,"2,5","1,88","1,51",-,-,-,-,-,-,-,-,-,"1,08","0,12",-,-,-,-,"1,02",63,-,-,"0,41",-,-,-,-,-,-,403,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,103,10307,entrées et plats composés,plats composés,plats de céréales/pâtes,25149,"Pâtes fraîches farcies (ex : raviolis, ravioles du Dauphiné), au fromage, cuites","Pâtes fraîches farcies (ex : raviolis, ravioles du Dauphiné), au fromage, cuites",133,561,133,"69,8","5,35","5,35","18,7","3,86","0,8","17,9","1,2",0,"1,13",0,0,"1,87","1,04","0,52",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"36,2","0,53","72,3",-,"0,3","0,48","5,2","16,2","0,2","88,5","47,9",13,212,"0,7","24,9",15,"0,05","0,1",-,-,"0,2","0,029","0,047","0,29","0,27","0,04","7,47","0,18"
1,103,10307,entrées et plats composés,plats composés,plats de céréales/pâtes,25150,Couscous de légumes,Couscous de légumes,114,481,114,"71,1","4,32","4,32",18,"2,25","2,54",-,"2,24",0,"2,07",0,0,"0,8","0,52","0,83",-,-,-,-,-,-,-,-,-,"0,76","0,072",-,-,-,-,"0,73",-,-,-,-,-,-,-,-,-,-,274,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,103,10307,entrées et plats composés,plats composés,plats de céréales/pâtes,25155,"Pâtes fraîches farcies (ex : raviolis), au fromage et aux légumes, cuites","Pâtes fraîches farcies (ex : raviolis), au fromage et aux légumes, cuites",175,734,175,"60,5","5,81","5,81","23,7","5,6","2,3","20,8","3,2",0,"1,21",0,0,"2,16","1,89","1,23","0,06","0,04","0,03","0,05","0,07","0,23","1,27","0,33","1,74","1,17","0,05","< 0,01","< 0,01","< 0,01","27,2","0,62",69,352,"0,13","0,57",< 20,20,"0,23",93,130,< 20,246,"0,51",< 21,157,"< 0,25","0,64","< 0,8",-,"< 0,5","0,07","0,07","1,32","0,45","0,058","8,62","0,25"
1,103,10307,entrées et plats composés,plats composés,plats de céréales/pâtes,25157,"Pâtes fraîches farcies (ex : raviolis), à la viande (ex : bolognaise), crues","Pâtes fraîches farcies (ex : raviolis), à la viande (ex : bolognaise), crues",274,1160,274,"35,3","11,4","11,4","42,5","5,79","3,91",-,"3,15",0,"1,77",0,0,"2,45","1,94","1,14","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","0,1","1,22","0,58","1,94","1,1","0,041",-,-,"< 0,01",-,"1,28","37,5",-,-,"0,72",-,-,-,-,-,-,512,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,103,10307,entrées et plats composés,plats composés,plats de céréales/pâtes,25158,"Pâtes fraîches farcies (ex : raviolis), à la viande (ex : bolognaise), cuites","Pâtes fraîches farcies (ex : raviolis), à la viande (ex : bolognaise), cuites",174,735,174,"60,3","6,94","6,94","25,1","4,65",1,"22,1","2,15",0,"0,87",0,0,"1,65","1,95","0,82","< 0,0062","< 0,0062","< 0,0062","0,0074","0,0074","0,1",1,"0,47","1,65","0,73","0,069","0,0095","0,0048","0,0048","25,7","0,52",29,319,"0,12","0,78",< 20,"17,5","0,26","85,5",95,< 35,206,"0,74",< 21,82,"< 0,38","0,28","0,74",-,"< 0,5","0,19","0,049","0,51","0,32","0,051","13,6","0,57"
1,103,10307,entrées et plats composés,plats composés,plats de céréales/pâtes,25181,"Pâtes fraîches farcies (ex : raviolis, ravioles du Dauphiné), au fromage, crues","Pâtes fraîches farcies (ex : raviolis, ravioles du Dauphiné), au fromage, crues",215,904,215,"53,1","11,3","11,3","24,1","7,69","3,83","9,6","2,23",0,"1,57",0,0,"4,28","2,55","0,74","0,21","0,12","0,095","0,17","0,21","0,7","2,15","0,62","1,71","0,61","0,072",-,-,"< 0,01",49,"1,13",141,361,< 1,1,-,"21,7",< 1,165,112,-,458,< 1,23,< 50,-,"< 0,1",-,-,-,"0,07","0,13","0,26","0,47","< 0,05","11,4","0,6"
1,103,10307,entrées et plats composés,plats composés,plats de céréales/pâtes,25182,"Pâtes fraîches farcies (ex : raviolis), au fromage et aux légumes, crues","Pâtes fraîches farcies (ex : raviolis), au fromage et aux légumes, crues",266,1120,266,"37,5","9,98","9,98","42,2","5,69","3,46",-,"2,87",0,"1,75",0,0,"2,74","1,17","1,47","0,045","0,03","0,028","0,043","0,053","0,17","0,94","0,29","1,17","1,43","0,035",-,-,"< 0,01",-,"1,07",-,534,-,-,-,-,-,-,-,-,422,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,103,10307,entrées et plats composés,plats composés,plats de céréales/pâtes,25183,Nouilles sautées/poêlées aux crevettes,Nouilles sautées/poêlées aux crevettes,103,435,103,"76,4","4,88","4,88","12,5","3,4","1,7","10,4","1,6",0,"1,18",0,0,"1,16","0,76","1,18","< 0,01","< 0,01","0,08","0,06","0,4","0,15","0,35","0,12","0,76","1,09","0,05","0,01","0,01","0,02","25,7","0,84",22,491,"0,07","0,5",< 20,19,"0,19",54,100,< 20,334,"0,42",< 21,380,"< 0,25","0,68","7,53",-,"< 0,5","0,053","0,35","0,37","0,18","0,056",77,"0,21"
1,103,10307,entrées et plats composés,plats composés,plats de céréales/pâtes,25184,"Riz blanc, cuit, avec poulet","Riz blanc, cuit, avec poulet",175,734,174,-,"4,23","4,44","31,5","3,19","3,48",-,"0,99",0,"0,78",0,0,"0,52",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,78",-,-,-,-,-,-,-,-,-,-,312,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,103,10307,entrées et plats composés,plats composés,plats de céréales/pâtes,25185,"Riz blanc, cuit, avec légumes et viande","Riz blanc, cuit, avec légumes et viande",167,700,166,-,"4,61","4,85","28,3","3,57","1,91",-,"0,98",0,"0,85",0,0,"0,69",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,85",-,-,-,-,-,-,-,-,-,-,338,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,103,10307,entrées et plats composés,plats composés,plats de céréales/pâtes,25187,"Risotto, aux légumes","Risotto, aux légumes",126,526,125,74,"4,06","4,26","15,5","5,06","1,72",-,"0,82",0,"0,65",0,0,"2,5","1,57","0,77",-,-,-,"0,17",-,-,-,-,-,-,-,-,-,-,-,"0,57",-,-,-,-,-,-,-,-,-,-,216,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,103,10307,entrées et plats composés,plats composés,plats de céréales/pâtes,25188,"Risotto, aux fruits de mer","Risotto, aux fruits de mer",130,539,129,-,"5,47","5,75","12,5","6,07","2,02",-,"1,15",0,"0,85",0,0,"2,92",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,85",-,-,-,-,-,-,-,-,-,-,337,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,103,10307,entrées et plats composés,plats composés,plats de céréales/pâtes,25189,"Risotto, aux fromages","Risotto, aux fromages",195,817,194,-,"5,65","5,93","30,9","5,16","0,58",-,"0,7",0,"0,82",0,0,"2,49",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,82",-,-,-,-,-,-,-,-,-,-,328,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,103,10307,entrées et plats composés,plats composés,plats de céréales/pâtes,25192,"Raviolis aux légumes, sauce tomate, appertisés","Raviolis aux légumes, sauce tomate, appertisés","89,4",376,"89,4","78,5","2,88","2,88","13,1","2,45","2,74","10,4","1,7",0,"1,36",0,0,"0,48","0,98","0,98","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","0,23","0,06","0,91","0,9","0,08","< 0,01","< 0,01","< 0,01","2,74","0,76",15,517,"0,11","1,1",< 20,16,"0,15",32,280,< 20,300,"0,21",< 21,1170,"< 0,25","0,85","9,31",-,"< 0,5","0,05","0,033","1,14","0,17","0,096","14,2","0,082"
1,103,10307,entrées et plats composés,plats composés,plats de céréales/pâtes,25193,"Pâtes fraîches farcies (ex : raviolis), aux légumes, cuites","Pâtes fraîches farcies (ex : raviolis), aux légumes, cuites",155,652,155,"64,6","5,19","5,19","20,8","4,9","1,89","18,9","3,7",0,"0,83",0,0,"1,93","1,63","1,07","0,04","0,03","0,02","0,04","0,05","0,16","1,25","0,29","1,5","1,03","0,04","< 0,01","< 0,01","< 0,01","28,5","0,49",50,304,"0,1","0,51",< 20,15,"0,2",75,76,< 20,195,"0,48",< 21,119,"< 0,25","0,81","1,35",-,"< 0,5","0,057","0,066","0,24","0,32","0,038","42,4","0,49"
1,103,10307,entrées et plats composés,plats composés,plats de céréales/pâtes,25198,"Pâtes en sauce aux fromages (spaghetti, tagliatelles…)","Pâtes en sauce aux fromages (spaghetti, tagliatelles…)",163,681,163,-,"7,17","7,17","15,9","7,4","5,85",-,"1,85",0,"0,8",0,0,"4,35",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,8",-,-,-,-,-,-,-,-,-,-,310,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,103,10307,entrées et plats composés,plats composés,plats de céréales/pâtes,25203,"Pâtes fraîches farcies (ex : ravioli), aux légumes, crues","Pâtes fraîches farcies (ex : ravioli), aux légumes, crues",255,1080,255,-,"9,4","9,4","41,4","5,06","3,14",-,"3,02",0,"0,81",0,0,"1,74",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,81",-,-,-,-,-,-,-,-,-,-,339,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,103,10307,entrées et plats composés,plats composés,plats de céréales/pâtes,25216,"Pâtes fraîches farcies (ex : raviolis), cuites (aliment moyen)","Pâtes fraîches farcies (ex : raviolis), cuites (aliment moyen)",153,646,153,"65,1","5,95","5,95","21,6","4,38","1,09","19,7","1,96",0,1,0,0,"1,81","1,49","0,74",,,,,,,,,,,,,,,"30,9","0,53","53,6",,"0,2","0,6","7,81","16,8","0,22","86,2","73,5","14,1",210,"0,68","17,1","60,3","0,11","0,28",,,"0,23","0,094","0,051","0,43","0,3","0,045","13,7","0,36"
1,103,10307,entrées et plats composés,plats composés,plats de céréales/pâtes,25217,"Feuille de vigne farcie au riz ou dolmas, égouttée","Feuille de vigne farcie au riz ou dolmas, égouttée",150,625,149,"67,6","2,5","2,63","18,6","6,5","0,8","17,8","2,6","< 0,5","1,8",0,"0,43","0,85","2,1","3,24","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","0,54","0,24","2,01","3,07","0,17","< 0,01","< 0,01","< 0,01",-,"1,34",70,873,"0,15","1,1",20,14,"0,39",42,110,< 20,534,"0,36",-,685,"< 0,25","2,48","64,7",-,"< 0,5","0,018","< 0,01","< 0,1","0,12","0,042","19,9",-
1,103,10307,entrées et plats composés,plats composés,plats de céréales/pâtes,25218,"Lasagnes ou cannelloni aux légumes, cuits","Lasagnes ou cannelloni aux légumes, cuits",122,512,122,"74,5","4,38","4,38","11,8","5,9","4,3","7,5",traces,0,"1,4",0,"1,47","1,91","2,06","1,54","0,06","0,04","0,03","0,06","0,07","0,24",1,"0,34","1,9","1,5","0,04","< 0,01","< 0,01","< 0,01","11,2","0,6",76,422,"0,1","0,62",< 20,20,"0,21",85,240,< 20,238,"0,54",< 21,531,"< 0,25","2,19","6,37",-,"3,34","< 0,015","0,063","< 0,1","0,28","0,08",27,"0,2"
1,103,10307,entrées et plats composés,plats composés,plats de céréales/pâtes,25219,"Lasagnes ou canelloni aux légumes et au fromage de chèvre, cuits","Lasagnes ou canelloni aux légumes et au fromage de chèvre, cuits",179,749,179,"65,6",7,7,14,"10,2","2,3","11,5","1,4",0,"1,49",0,"0,36","5,23","3,04","1,13","0,19","0,17","0,17","0,54","0,31","0,75","2,16","0,78","2,82","1,04","0,08","0,01","< 0,01","< 0,01","25,6","0,85",32,557,"0,03","0,18",< 20,"6,5","0,08",40,59,< 20,340,"0,23",54,235,"< 0,25","1,14","13,7",-,"0,67","0,041","0,089","0,35","0,36","0,047","39,5","0,18"
1,103,10307,entrées et plats composés,plats composés,plats de céréales/pâtes,25635,Lasagnes ou cannelloni au fromage et aux épinards,Lasagnes ou cannelloni au fromage et aux épinards,151,632,151,"68,1","6,1","6,1","15,8","6,6","3,5",-,"1,87",0,"1,5",0,0,"3,1","2,46","0,66",-,-,-,-,-,-,-,-,-,"0,47","0,15",-,-,-,-,"0,99",-,-,-,-,-,-,-,-,-,-,397,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,103,10308,entrées et plats composés,plats composés,plats de fromage,4041,Aligot (purée de pomme de terre à la tomme fraîche),Aligot (purée de pomme de terre à la tomme fraîche),191,797,191,-,"8,55","8,55","9,5","12,9",0,-,"1,55",0,"1,01",0,traces,"9,05",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,01",-,-,-,-,-,-,-,-,-,-,320,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,103,10308,entrées et plats composés,plats composés,plats de fromage,25020,Soufflé au fromage,Soufflé au fromage,185,771,185,"67,3","10,9","10,9","4,75","13,4","2,15","2,6","1,15",0,"1,53",0,traces,"8,15","4,23","0,76",-,-,-,-,-,-,-,-,-,-,-,-,-,-,118,"0,95",226,-,"0,04","0,6","18,6","19,7","0,03",196,138,"4,74",391,"1,37",131,38,"0,5","0,6",-,-,1,"0,05","0,24","0,53","0,58","0,06","20,1","0,6"
1,103,10308,entrées et plats composés,plats composés,plats de fromage,25137,Tartiflette,Tartiflette,125,522,125,"72,7","4,5","4,5","10,4","6,89","0,91","9,3","1,67",0,"1,59",0,traces,"2,92","2,5","0,55","0,11","0,07","0,056","0,099","0,15","0,42","1,46","0,55","2,27","0,49","0,055","0,0055","< 0,01","< 0,01","18,2","0,8",74,467,"0,05","0,26",< 20,14,"0,06",95,270,< 20,322,"0,57","35,7","16,5","< 0,25","0,56","0,82",-,"< 0,5","0,05","0,061","1,01","0,23","0,13","33,4","0,2"
1,103,10308,entrées et plats composés,plats composés,plats de fromage,25437,Gougère,Gougère,382,1590,382,"33,2","15,3","15,3","19,9","26,4","0,77",18,"1,53",0,"1,94",0,traces,"15,7","7,8","1,62",-,-,-,-,-,-,-,-,-,"1,2","0,13",-,-,-,213,"0,9",400,-,"0,14","1,18","29,4","24,3","0,15",297,122,"8,24",361,"2,26",272,116,"0,89","0,97",-,-,0,"0,076","0,35","0,29","0,76","0,11","37,4","0,98"
1,103,10308,entrées et plats composés,plats composés,plats de fromage,25509,"Fondue savoyarde (fromages, vin, pain)","Fondue savoyarde (fromages, vin, pain)",231,965,232,"57,4","16,2","15,9","2,6","17,2","1,1",-,0,0,"3,03","0,3",traces,12,"4,34","0,42","0,72","0,37","0,27","0,51","0,61","1,95","5,13","1,63","3,93","0,29","0,13","< 0,0081",-,-,"73,6","1,28",517,564,"0,3","0,3",10,"21,7","< 0,1",400,73,< 5,511,2,126,-,"< 0,5","0,35",-,-,0,"< 0,04","0,21","< 0,08","0,12","0,065",< 16,"0,83"
1,103,10308,entrées et plats composés,plats composés,plats de fromage,25546,Fromage pané au jambon,Fromage pané au jambon,263,1100,263,"52,6","17,4","17,4","15,3","14,6","1,5","13,8",< 1,0,"3,15",0,traces,"7,15","4,31","2,38","0,31","0,19","0,11","0,23","0,27","0,8","3,94","0,95","4,08","2,27","0,051","0,025",-,-,"31,9","2,32","84,9",-,"< 0,1","0,8",13,"25,8","0,17",202,246,7,929,"1,4",26,21,"< 0,5","4,1",-,-,< 1,"0,087","0,12","5,7","0,55","0,25",< 20,"0,61"
1,104,0,entrées et plats composés,"pizzas, tartes et crêpes salées",-,25404,Pizza au fromage ou Pizza margherita,Pizza au fromage ou Pizza margherita,227,951,226,"49,3","8,93","9,09","29,6","7,64","2,72","17,6","1,67","0,02","2,23",0,traces,"3,4","2,45","1,37","0,2","0,065","0,043","0,1","0,19","0,42","1,88","0,51","2,12","1,26","0,11",0,0,0,"17,2","1,24",239,758,"0,097","1,14","33,4","22,9","0,25",286,170,"< 4,5",493,"1,52",64,97,0,"1,29","9,7",-,"5,5","0,24","0,17","1,3","0,21","0,086",40,"0,55"
1,104,0,entrées et plats composés,"pizzas, tartes et crêpes salées",-,25405,Quiche lorraine,Quiche lorraine,274,1140,274,"53,2","8,96","8,96",21,"16,8","2,67",-,"1,29",-,"1,72",0,traces,"8,63","5,78","1,55","0,34","0,19","0,11","0,22","0,25","0,91","5,24","1,38","4,73","1,3","0,09","0,048","0,0033","0,013","95,4","1,28",116,672,"0,047","0,63",31,"17,8","0,097",145,164,< 10,503,"0,8","52,3",-,"1,21","1,55",-,-,"0,71","0,12","0,16","0,47",-,"0,095","17,1","0,3"
